COMPANY,Rating,Review,Type,Old,No._of_employes
The Himalaya Dru...,4.2,(1.3k Reviews),Private,92 years old,1k-5k Employees (India)
Statestreet HCL ...,3.4,(1.3k Reviews),Private,10 years old,5k-10k Employees (India)
Renault-Nissan,4.1,(1.4k Reviews),Private,12 years old,5k-10k Employees (India)
Cholamandalam MS...,4.0,(1.3k Reviews),JV,21 years old,50k-1 Lakh Employees (India)
Emcure Pharmaceu...,4.1,(1.4k Reviews),Private,41 years old,5k-10k Employees (India)
Birlasoft,3.8,(1.3k Reviews),Public,27 years old,5k-10k Employees (India)
Blue Star,4.1,(1.3k Reviews),Public,79 years old,1k-5k Employees (India)
Honda,4.2,(3.2k Reviews),Private,37 years old,5k-10k Employees (India)
HDFC Sales,4.1,(1.3k Reviews),Private,18 years old,10k-50k Employees (India)
Sterling & Wilso...,4.2,(1.3k Reviews),Private,95 years old,1k-5k Employees (India)
Exide Life Insur...,3.7,(1.3k Reviews),Private,21 years old,1k-5k Employees (India)
Britannia,4.2,(1.3k Reviews),Public,130 years old,1k-5k Employees (India)
AGS Health,4.1,(1.3k Reviews),Private,11 years old,5k-10k Employees (India)
Sonalika Tractor...,3.9,(1.3k Reviews),Private,53 years old,1k-5k Employees (India)
Tata Technologie...,3.5,(1.3k Reviews),Private,33 years old,5k-10k Employees (India)
café Coffee day,4.1,(1.3k Reviews),Private,26 years old,1k-5k Employees (India)
TVS Sundram Fast...,3.9,(1.3k Reviews),Public,56 years old,5k-10k Employees (India)
Dalmia Bharat Ce...,4.1,(1.3k Reviews),Public,87 years old,1k-5k Employees (India)
Mahindra Holiday...,3.8,(1.3k Reviews),Private,26 years old,1k-5k Employees (India)
Big Bazaar,4.2,(1.3k Reviews),Private,21 years old,10k-50k Employees (India)
Shahi Exports,4.1,(1.3k Reviews),Private,48 years old,1 Lakh+ Employees (India)
Bhushan Power & ...,3.9,(1.3k Reviews),Private,52 years old,501-1k Employees (India)
Mahindra Rural H...,4.2,(1.3k Reviews),Public,15 years old,5k-10k Employees (India)
Johnson Controls,4.0,(2k Reviews),Public,27 years old,5k-10k Employees (India)
Legato Health Te...,4.1,(1.2k Reviews),LLP,5 years old,5k-10k Employees (India)
Lenskart,3.0,(1.2k Reviews),Private,12 years old,1k-5k Employees (India)
Societe Generale,3.9,(1.2k Reviews),Private,22 years old,1k-5k Employees (India)
Ambuja Cements,4.0,(1.2k Reviews),Public,39 years old,5k-10k Employees (India)
Indian Navy,4.6,(1.2k Reviews),Private,72 years old,50k-1 Lakh Employees (India)
Force Motors,3.4,(1.2k Reviews),Public,64 years old,1k-5k Employees (India)
UNO Minda,4.1,(1.2k Reviews),Gurgaon + 57 more,1k-5k Employees (India),
Thomson Reuters,4.3,(1.3k Reviews),Private,28 years old,10k-50k Employees (India)
Brakes India,4.2,(1.2k Reviews),"Chennai,Tamil Nadu + 54 more",1k-5k Employees (India),
3i Infotech,3.7,(1.2k Reviews),Public,29 years old,5k-10k Employees (India)
IGT Solutions,3.6,(1.2k Reviews),Private,24 years old,5k-10k Employees (India)
TVS Credit Servi...,4.3,(1.2k Reviews),Public,14 years old,10k-50k Employees (India)
Wockhardt,4.1,(1.6k Reviews),Public,23 years old,5k-10k Employees (India)
Sobha,4.0,(1.2k Reviews),Public,27 years old,1k-5k Employees (India)
JK Tyres,3.9,(1.2k Reviews),Private,71 years old,1k-5k Employees (India)
Shriram City,4.2,(1.2k Reviews),Public,36 years old,10k-50k Employees (India)
Indiabulls,3.8,(3.9k Reviews),Public,22 years old,10k-50k Employees (India)
Saint-Gobain,4.1,(1.3k Reviews),Private,357 years old,10k-50k Employees (India)
Indus Towers,4.1,(1.2k Reviews),Private,15 years old,1k-5k Employees (India)
Parle Agro,4.3,(1.2k Reviews),Private,38 years old,1k-5k Employees (India)
Whirlpool,4.3,(1.2k Reviews),Public,20 years old,1k-5k Employees (India)
V-mart,4.4,(1.2k Reviews),Public,20 years old,5k-10k Employees (India)
DS Group,4.1,(1.3k Reviews),Private,93 years old,1k-5k Employees (India)
Crompton Greaves,3.9,(1.2k Reviews),Public,85 years old,1k-5k Employees (India)
Shree Cement,4.3,(1.2k Reviews),Public,43 years old,5k-10k Employees (India)
Amara Raja Group,4.2,(1.5k Reviews),Public,37 years old,10k-50k Employees (India)
GVK Emergency Ma...,3.8,(1.2k Reviews),Private,17 years old,10k-50k Employees (India)
GE,4.2,(2.1k Reviews),Private,130 years old,10k-50k Employees (India)
Tech Mahindra Bu...,3.6,(1.2k Reviews),Public,19 years old,1k-5k Employees (India)
GSK Pharmaceutic...,4.3,(1.2k Reviews),Middlesex + 132 more,1k-5k Employees (India),
Reliance SMSL,4.1,(1.2k Reviews),Public,15 years old,1k-5k Employees (India)
Adani Power,4.1,(1.4k Reviews),Public,16 years old,1k-5k Employees (India)
Bharti AXA Life ...,3.9,(1.2k Reviews),Private,16 years old,5k-10k Employees (India)
Datamatics Globa...,3.7,(1.6k Reviews),Public,47 years old,1k-5k Employees (India)
Tata Motors Fina...,4.3,(1.2k Reviews),Private,65 years old,1k-5k Employees (India)
Reliance Trends,4.4,(1.2k Reviews),Private,16 years old,1 Lakh+ Employees (India)
Sterlite Technol...,4.2,(1.1k Reviews),Public,34 years old,5k-10k Employees (India)
Novartis Healthc...,4.1,(1.4k Reviews),Public,26 years old,1k-5k Employees (India)
SRF,4.3,(1.7k Reviews),Public,52 years old,1k-5k Employees (India)
State Street Cor...,3.8,(1.3k Reviews),Private,12 years old,5k-10k Employees (India)
Lodha group,4.2,(1.1k Reviews),Private,42 years old,1k-5k Employees (India)
Delphi TVS,4.0,(1.1k Reviews),Private,33 years old,1k-5k Employees (India)
Quest Global,3.6,(1.1k Reviews),Private,25 years old,10k-50k Employees (India)
Gabriel India,4.3,(1.1k Reviews),Public,61 years old,1k-5k Employees (India)
BT Group,4.3,(2k Reviews),Private,176 years old,5k-10k Employees (India)
Myntra,4.2,(1.1k Reviews),Private,15 years old,1k-5k Employees (India)
ICICI Securities,3.7,(1.1k Reviews),Public,27 years old,5k-10k Employees (India)
Sigma Electric M...,3.9,(1.1k Reviews),Private,40 years old,1k-5k Employees (India)
Yamaha Motor,3.9,(1.2k Reviews),Private,15 years old,1k-5k Employees (India)
IKS Health,3.5,(1.1k Reviews),Private,15 years old,1k-5k Employees (India)
Endurance Techno...,3.8,(1.1k Reviews),Public,37 years old,1k-5k Employees (India)
Hyatt Regency,4.3,(1.1k Reviews),Private,42 years old,1k-5k Employees (India)
Karvy Data Manag...,3.5,(1.1k Reviews),Private,14 years old,1k-5k Employees (India)
Oberoi Group of ...,4.2,(1.1k Reviews),Private,88 years old,1k-5k Employees (India)
Grasim Industrie...,4.2,(7.1k Reviews),Public,75 years old,10k-50k Employees (India)
Future Generali ...,4.0,(1.1k Reviews),Private,15 years old,1k-5k Employees (India)
Kansai Nerolac P...,3.9,(1.1k Reviews),Public,102 years old,1k-5k Employees (India)
AXA Business Ser...,3.9,(1.1k Reviews),Private,27 years old,1k-5k Employees (India)
Mahindra Logisti...,4.2,(1.1k Reviews),Public,22 years old,1k-5k Employees (India)
BlackBuck,4.0,(1.1k Reviews),Private,7 years old,1k-5k Employees (India)
Jet Airways,4.6,(1.1k Reviews),Public,29 years old,10k-50k Employees (India)
Kalpataru Power ...,4.1,(1.1k Reviews),Public,41 years old,1k-5k Employees (India)
Sopra Steria,4.3,(1.1k Reviews),Private,54 years old,1k-5k Employees (India)
Bharat Petroleum,4.1,(1.1k Reviews),Private,70 years old,50k-1 Lakh Employees (India)
Lucas-TVS,4.0,(1.4k Reviews),Private,61 years old,1k-5k Employees (India)
Tata Capital Fin...,4.3,(1.1k Reviews),Public,15 years old,1k-5k Employees (India)
Cadila Pharmaceu...,4.0,(6.2k Reviews),Public,71 years old,5k-10k Employees (India)
MetLife,4.4,(1.1k Reviews),Private,14 years old,5k-10k Employees (India)
Piramal Group,4.1,(1.3k Reviews),Private,42 years old,1k-5k Employees (India)
Coromandel Inter...,4.2,(1.1k Reviews),Public,61 years old,10k-50k Employees (India)
Shell,4.4,(1.1k Reviews),Public,18 years old,5k-10k Employees (India)
CSS Corp,3.7,(1.1k Reviews),Private,26 years old,5k-10k Employees (India)
Info Edge,3.9,(1.7k Reviews),Public,27 years old,5k-10k Employees (India)
BA Continuum,4.4,(1.1k Reviews),Private,19 years old,10k-50k Employees (India)
Paras Hospital,4.6,(1.1k Reviews),Private,16 years old,1k-5k Employees (India)
JCB,4.0,(1.1k Reviews),Private,77 years old,1k-5k Employees (India)
Power Mech Proje...,3.8,(1.1k Reviews),Public,15 years old,1k-5k Employees (India)
Synechron,4.1,(1.4k Reviews),Private,21 years old,5k-10k Employees (India)
Parle Products,4.1,(1.1k Reviews),Private,93 years old,1k-5k Employees (India)
Barclays,4.2,(1.1k Reviews),Private,332 years old,10k-50k Employees (India)
Blinkit,3.8,(1.1k Reviews),Private,9 years old,5k-10k Employees (India)
Cybage,4.0,(1.1k Reviews),Private,27 years old,5k-10k Employees (India)
ValueLabs,3.9,(1.1k Reviews),Private,25 years old,1k-5k Employees (India)
Bureau Veritas,4.0,(1.1k Reviews),Private,194 years old,1k-5k Employees (India)
Taj Hotels Resor...,4.3,(1.1k Reviews),"Mumbai,Maharashtra + 62 more",10k-50k Employees (India),
Aircel,4.4,(1.1k Reviews),Private,23 years old,5k-10k Employees (India)
IDBI Bank,3.8,(1.9k Reviews),Public,58 years old,10k-50k Employees (India)
Cromā,4.4,(1.1k Reviews),Private,16 years old,1k-5k Employees (India)
Syngene Internat...,3.9,(1.1k Reviews),Public,29 years old,1k-5k Employees (India)
Narayana Health,4.3,(1.1k Reviews),"Bangalore/Bengaluru,Karnataka + 49 more",10k-50k Employees (India),
Extramarks Educa...,3.4,(1.1k Reviews),Private,15 years old,1k-5k Employees (India)
CMS Infosystems,3.8,(1k Reviews),Private,14 years old,5k-10k Employees (India)
Aon,4.0,(1.1k Reviews),Private,82 years old,10k-50k Employees (India)
Hindustan Aerona...,4.3,(1k Reviews),Private,82 years old,10k-50k Employees (India)
Yazaki,4.0,(1.2k Reviews),Private,81 years old,10k-50k Employees (India)
Metro,4.2,(1k Reviews),Private,58 years old,1k-5k Employees (India)
WABCO,4.0,(1k Reviews),Public,53 years old,1k-5k Employees (India)
Adani Wilmar,4.2,(1k Reviews),Public,34 years old,1k-5k Employees (India)
Uflex,3.8,(1.1k Reviews),Public,39 years old,1k-5k Employees (India)
XpressBees,4.1,(1k Reviews),Private,7 years old,10k-50k Employees (India)
Foxconn,4.1,(1k Reviews),Private,48 years old,10k-50k Employees (India)
Renault Nissan T...,3.8,(1k Reviews),Chennai + 11 more,,
Square Yards,3.1,(1k Reviews),Private,9 years old,1k-5k Employees (India)
Tata Play,4.2,(1k Reviews),Public,16 years old,1k-5k Employees (India)
RMSI,3.8,(1k Reviews),Private,30 years old,1k-5k Employees (India)
ITC Hotels,4.1,(1.1k Reviews),Public,47 years old,5k-10k Employees (India)
Panasonic,4.1,(1.7k Reviews),Private,104 years old,10k-50k Employees (India)
Dr Lal PathLabs,4.3,(1k Reviews),Public,73 years old,1k-5k Employees (India)
Dell EMC,4.3,(1k Reviews),Private,43 years old,10k-50k Employees (India)
Dainik Bhaskar G...,4.1,(1k Reviews),Public,64 years old,5k-10k Employees (India)
AECOM,4.2,(1k Reviews),Private,32 years old,5k-10k Employees (India)
Bharat Financial...,4.2,(999 Reviews),Public,24 years old,10k-50k Employees (India)
Honeywell Automa...,4.0,(996 Reviews),Public,116 years old,10k-50k Employees (India)
Fujitsu,4.2,(989 Reviews),Private,87 years old,5k-10k Employees (India)
Videocon d2h,3.9,(987 Reviews),Public,13 years old,501-1k Employees (India)
Canara HSBC OBC ...,3.8,(986 Reviews),Public,14 years old,1k-5k Employees (India)
Johnson & Johnso...,4.3,(1k Reviews),Private,65 years old,5k-10k Employees (India)
Karvy Fintech,3.6,(984 Reviews),"Hyderabad/Secunderabad,Telangana + 70 more",201-500 Employees (India),
Reckitt Benckise...,4.1,(982 Reviews),Private,23 years old,1k-5k Employees (India)
Ninjacart,3.6,(980 Reviews),Private,7 years old,1k-5k Employees (India)
Barclays Shared ...,4.3,(977 Reviews),Private,15 years old,5k-10k Employees (India)
Vardhman Fabrics,4.1,(976 Reviews),Baddi + 50 more,,
Akums Drugs & Ph...,4.1,(1.3k Reviews),Private,18 years old,5k-10k Employees (India)
Aragen Life Scie...,4.4,(975 Reviews),Private,22 years old,1k-5k Employees (India)
Hindustan Constr...,4.2,(975 Reviews),Public,96 years old,1k-5k Employees (India)
Aavas Financiers...,4.0,(972 Reviews),Public,11 years old,1k-5k Employees (India)
Sify Technologie...,4.0,(972 Reviews),Private,27 years old,1k-5k Employees (India)
FedEx Express,4.3,(1.2k Reviews),Private,51 years old,5k-10k Employees (India)
Jindal Stainless,4.2,(1k Reviews),Public,52 years old,10k-50k Employees (India)
Max Fashion,4.3,(957 Reviews),Private,8 years old,5k-10k Employees (India)
Sony,4.4,(1.1k Reviews),Public,28 years old,501-1k Employees (India)
Aforeserve,3.6,(956 Reviews),Private,22 years old,1k-5k Employees (India)
Reliance General...,3.9,(955 Reviews),Private,22 years old,10k-50k Employees (India)
Microland,3.8,(954 Reviews),Public,33 years old,1k-5k Employees (India)
Procter & Gamble,4.2,(1.4k Reviews),Public,185 years old,5k-10k Employees (India)
Inox Leisure,4.1,(952 Reviews),Public,23 years old,1k-5k Employees (India)
Northern Trust O...,4.2,(951 Reviews),Private,17 years old,1k-5k Employees (India)
Verizon,4.3,(977 Reviews),Private,22 years old,5k-10k Employees (India)
Zomato,4.0,(949 Reviews),Public,14 years old,10k-50k Employees (India)
Cisco Systems,4.5,(1.1k Reviews),Private,38 years old,10k-50k Employees (India)
First American C...,4.1,(1.3k Reviews),Private,133 years old,1k-5k Employees (India)
Edelweiss,4.0,(944 Reviews),Public,5 years old,5k-10k Employees (India)
Laurus Labs,4.4,(943 Reviews),Public,17 years old,1k-5k Employees (India)
Cavinkare,4.1,(941 Reviews),Private,39 years old,1k-5k Employees (India)
Kent RO Systems,3.7,(941 Reviews),Private,23 years old,1k-5k Employees (India)
Adecco Group,4.0,(941 Reviews),Private,23 years old,1k-5k Employees (India)
DIVI'S Laborator...,3.7,(938 Reviews),Public,32 years old,10k-50k Employees (India)
SRL Diagnostics,4.1,(937 Reviews),Private,27 years old,1k-5k Employees (India)
SAP,4.4,(1.3k Reviews),Private,24 years old,10k-50k Employees (India)
Angel One,4.0,(935 Reviews),Mumbai + 104 more,,
Kotak Securities,3.8,(935 Reviews),Private,28 years old,1k-5k Employees (India)
HERE Technologie...,4.0,(934 Reviews),Private,37 years old,1k-5k Employees (India)
SGS,4.1,(935 Reviews),Private,144 years old,1k-5k Employees (India)
Mother Dairy Fru...,4.2,(931 Reviews),Private,48 years old,1k-5k Employees (India)
Iksula,4.1,(930 Reviews),LLP,15 years old,201-500 Employees (India)
V-Guard Industri...,4.6,(945 Reviews),Public,45 years old,1k-5k Employees (India)
Exl India,3.9,(928 Reviews),New Delhi + 20 more,11-50 Employees (India),
USHA Internation...,4.3,(950 Reviews),Public,88 years old,1k-5k Employees (India)
HCL Technologies...,3.7,(919 Reviews),Private,22 years old,1 Lakh+ Employees (India)
HCL Technologies...,3.7,(919 Reviews),Private,22 years old,1 Lakh+ Employees (India)
Emami,4.0,(1.8k Reviews),Public,48 years old,10k-50k Employees (India)
The Jaypee Group,4.1,(1.7k Reviews),Public,43 years old,10k-50k Employees (India)
Citibank,4.1,(918 Reviews),Private,210 years old,10k-50k Employees (India)
Citicorp,3.8,(918 Reviews),Private,25 years old,10k-50k Employees (India)
DHL Express,4.3,(917 Reviews),Private,43 years old,1k-5k Employees (India)
Narayana Educati...,3.8,(917 Reviews),Private,37 years old,1k-5k Employees (India)
Xoriant,4.4,(916 Reviews),Private,32 years old,1k-5k Employees (India)
CMA CGM,4.1,(1.1k Reviews),Private,44 years old,501-1k Employees (India)
Schindler Group,4.0,(914 Reviews),Private,25 years old,1k-5k Employees (India)
Safexpress,4.2,(1k Reviews),Private,25 years old,1k-5k Employees (India)
G R Infraproject...,4.2,(912 Reviews),Public,27 years old,10k-50k Employees (India)
Ocwen Financial ...,4.2,(912 Reviews),Private,34 years old,1k-5k Employees (India)
Marriott Interna...,4.2,(3k Reviews),Private,95 years old,10k-50k Employees (India)
Intellect Design...,4.1,(908 Reviews),Public,8 years old,1k-5k Employees (India)
Harman Connected...,3.9,(906 Reviews),Private,21 years old,10k-50k Employees (India)
Crisil,3.9,(914 Reviews),Public,35 years old,1k-5k Employees (India)
Philips,4.1,(1.5k Reviews),Private,92 years old,5k-10k Employees (India)
Star Health & Al...,4.0,(903 Reviews),Private,16 years old,10k-50k Employees (India)
NCR Corporation,4.0,(904 Reviews),Private,138 years old,5k-10k Employees (India)
Toyota Kirloskar...,4.3,(899 Reviews),Private,25 years old,5k-10k Employees (India)
Badve Engineerin...,3.9,(898 Reviews),Private,26 years old,1k-5k Employees (India)
Punj Lloyd,4.3,(896 Reviews),Public,40 years old,1k-5k Employees (India)
Medanta the Medi...,4.2,(896 Reviews),Private,13 years old,1k-5k Employees (India)
KFC,4.1,(893 Reviews),Private,70 years old,1k-5k Employees (India)
Bank of Baroda,3.8,(1.3k Reviews),Private,114 years old,10k-50k Employees (India)
Yash Technologie...,4.0,(890 Reviews),Private,26 years old,5k-10k Employees (India)
ElasticRun,3.9,(890 Reviews),Private,6 years old,1k-5k Employees (India)
DBS Bank,3.9,(890 Reviews),Private,7 years old,1k-5k Employees (India)
Medi Assist Indi...,3.8,(889 Reviews),Private,22 years old,1k-5k Employees (India)
KONE,4.2,(889 Reviews),Private,38 years old,1k-5k Employees (India)
iOPEX Technologi...,4.1,(913 Reviews),Private,13 years old,1k-5k Employees (India)
Care Health Insu...,4.0,(886 Reviews),Public,10 years old,5k-10k Employees (India)
FactSet,3.9,(886 Reviews),Private,15 years old,1k-5k Employees (India)
Sitel,4.0,(1k Reviews),Private,37 years old,1k-5k Employees (India)
USV,4.1,(879 Reviews),Private,61 years old,1k-5k Employees (India)
SLK Global Servi...,3.9,(878 Reviews),Private,22 years old,51-200 Employees (India)
BT Global Servic...,4.3,(875 Reviews),Private,22 years old,1k-5k Employees (India)
TCE,3.7,(874 Reviews),Private,60 years old,1k-5k Employees (India)
Innovsource Serv...,4.1,(874 Reviews),Private,18 years old,1k-5k Employees (India)
Nayara Energy,4.2,(873 Reviews),Private,33 years old,1k-5k Employees (India)
Amazon Transport...,4.2,(15.2k Reviews),Private,10 years old,1k-5k Employees (India)
Motherson Automo...,3.9,(3.5k Reviews),Private,25 years old,501-1k Employees (India)
NTPC,4.1,(1.4k Reviews),Private,47 years old,10k-50k Employees (India)
Torrent Power,3.8,(884 Reviews),Public,26 years old,1k-5k Employees (India)
Tesco,4.2,(945 Reviews),Private,103 years old,1k-5k Employees (India)
Orange Business ...,4.3,(867 Reviews),Private,16 years old,1k-5k Employees (India)
L.G.Balakrishnan...,3.9,(866 Reviews),Public,85 years old,1k-5k Employees (India)
VLCC,4.0,(866 Reviews),Private,33 years old,1k-5k Employees (India)
ISS Facility Ser...,4.3,(866 Reviews),Private,17 years old,50k-1 Lakh Employees (India)
Honeywell Techno...,3.9,(865 Reviews),Private,28 years old,10k-50k Employees (India)
Allsec Technolog...,3.7,(864 Reviews),Public,22 years old,1k-5k Employees (India)
Satin Creditcare...,4.2,(860 Reviews),Public,32 years old,5k-10k Employees (India)
Faurecia,4.0,(858 Reviews),Private,25 years old,1k-5k Employees (India)
Biological E,4.3,(857 Reviews),Private,69 years old,1k-5k Employees (India)
Relaxo Footwear,4.1,(857 Reviews),Public,46 years old,1k-5k Employees (India)
Hindustan Petrol...,4.4,(854 Reviews),Public,48 years old,5k-10k Employees (India)
Akzo Nobel India,4.2,(853 Reviews),Public,83 years old,1k-5k Employees (India)
Tata Elxsi,4.1,(853 Reviews),Public,33 years old,5k-10k Employees (India)
Varroc Group,3.7,(965 Reviews),Public,34 years old,1k-5k Employees (India)
Mercedes-Benz Re...,4.0,(850 Reviews),Public,26 years old,5k-10k Employees (India)
HDFC Securities,3.7,(848 Reviews),Public,22 years old,1k-5k Employees (India)
ISGEC,3.9,(848 Reviews),Public,89 years old,1k-5k Employees (India)
Vedantu,3.5,(848 Reviews),Private,11 years old,5k-10k Employees (India)
Serco,4.2,(844 Reviews),Private,34 years old,5k-10k Employees (India)
Consolidated Con...,4.6,(844 Reviews),Public,70 years old,1k-5k Employees (India)
Trident Group,3.9,(839 Reviews),Public,32 years old,1k-5k Employees (India)
J. Kumar Infrapr...,4.1,(838 Reviews),Public,42 years old,5k-10k Employees (India)
Mercer,3.9,(836 Reviews),Private,77 years old,1k-5k Employees (India)
Vfs Global Servi...,3.7,(835 Reviews),Private,21 years old,1k-5k Employees (India)
MSN Laboratories,3.6,(833 Reviews),Private,19 years old,1k-5k Employees (India)
Bharat Forge,3.9,(832 Reviews),Public,61 years old,1k-5k Employees (India)
GMR Group,4.2,(1.6k Reviews),Public,44 years old,5k-10k Employees (India)
Hero FinCorp,4.3,(827 Reviews),Private,31 years old,1k-5k Employees (India)
Jubilant Foods W...,3.8,(826 Reviews),Public,27 years old,10k-50k Employees (India)
Fincare Small Fi...,4.0,(824 Reviews),Bangalore + 203 more,5k-10k Employees (India),
Vertex Customer ...,3.6,(821 Reviews),Private,12 years old,5k-10k Employees (India)
TVS Logistics Se...,4.1,(937 Reviews),Private,18 years old,1k-5k Employees (India)
L&T Energy Hydro...,3.9,(817 Reviews),Private,13 years old,5k-10k Employees (India)
Trent,4.3,(815 Reviews),Public,24 years old,1k-5k Employees (India)
Aditya Birla Cap...,4.1,(815 Reviews),Public,15 years old,10k-50k Employees (India)
Bayer,4.3,(1k Reviews),Public,159 years old,10k-50k Employees (India)
Gannon Dunkerley,4.0,(812 Reviews),Private,98 years old,1k-5k Employees (India)
Saipem,4.1,(811 Reviews),Private,65 years old,1k-5k Employees (India)
NIIT,3.8,(811 Reviews),Public,1k-5k Employees (India),
DHL Supply Chain,4.3,(810 Reviews),Private,53 years old,1k-5k Employees (India)
Fabindia,4.1,(810 Reviews),Private,64 years old,1k-5k Employees (India)
Cinépolis,4.4,(809 Reviews),Morelia + 45 more,1k-5k Employees (India),
Pantaloons,4.3,(808 Reviews),Public,25 years old,10k-50k Employees (India)
Unisys,3.9,(803 Reviews),Private,35 years old,1k-5k Employees (India)
Heritage Foods ...,4.1,(803 Reviews),Public,30 years old,501-1k Employees (India)
Essar Steel,3.9,(802 Reviews),Private,46 years old,1k-5k Employees (India)
XcelServ Solutio...,4.7,(801 Reviews),Private,11 years old,501-1k Employees (India)
ZS,3.8,(801 Reviews),Private,39 years old,5k-10k Employees (India)
Indiabulls Home ...,4.0,(800 Reviews),"Gurgaon/Gurugram,Haryana + 105 more",5k-10k Employees (India),
Bata,4.1,(798 Reviews),Public,91 years old,1k-5k Employees (India)
Marico,4.1,(1.2k Reviews),Public,32 years old,1k-5k Employees (India)
Aptara,3.4,(795 Reviews),Private,34 years old,1k-5k Employees (India)
Coforge,3.8,(795 Reviews),Public,10k-50k Employees (India),
Welspun,4.1,(793 Reviews),Private,37 years old,5k-10k Employees (India)
Swaraj Tractors,4.3,(793 Reviews),"Mumbai,Maharashtra + 96 more",501-1k Employees (India),
Indiabulls Consu...,3.9,(792 Reviews),Public,28 years old,10k-50k Employees (India)
Daimler India Co...,4.2,(789 Reviews),Private,136 years old,1k-5k Employees (India)
Security and Int...,4.3,(789 Reviews),Public,37 years old,1 Lakh+ Employees (India)
Lumax Industries,4.0,(784 Reviews),Public,77 years old,501-1k Employees (India)
Altisource,3.8,(781 Reviews),Private,15 years old,1k-5k Employees (India)
DENSO,4.1,(852 Reviews),Public,75 years old,501-1k Employees (India)
Amity University,3.8,(777 Reviews),Private,17 years old,1k-5k Employees (India)
Jindal Saw,4.1,(776 Reviews),Public,38 years old,5k-10k Employees (India)
Sharekhan,4.1,(776 Reviews),Public,22 years old,5k-10k Employees (India)
Sanofi,4.5,(922 Reviews),Public,18 years old,1k-5k Employees (India)
Straive,3.8,(774 Reviews),Private,42 years old,1k-5k Employees (India)
JW Marriott,4.3,(773 Reviews),Private,95 years old,1k-5k Employees (India)
Sysnet Global Te...,3.8,(773 Reviews),Private,23 years old,1k-5k Employees (India)
IDC Technologies,3.5,(771 Reviews),Private,19 years old,1k-5k Employees (India)
Suguna Foods,4.1,(771 Reviews),Private,38 years old,5k-10k Employees (India)
Petrofac,4.4,(1.4k Reviews),Private,31 years old,1k-5k Employees (India)
Aricent,3.7,(768 Reviews),Private,40 years old,5k-10k Employees (India)
Tikona Infinet,3.8,(767 Reviews),Private,14 years old,1k-5k Employees (India)
