COMPANY,Rating,Review,Type,Old,No._of_employes
Oracle Financial...,3.8,(766 Reviews),Public,32 years old,50k-1 Lakh Employees (India)
SBI General Insu...,4.0,(765 Reviews),JV,13 years old,1k-5k Employees (India)
SBICAP Securitie...,3.8,(763 Reviews),Public,16 years old,1k-5k Employees (India)
Spicejet,3.6,(762 Reviews),Public,18 years old,5k-10k Employees (India)
Frankfinn Instit...,3.9,(762 Reviews),Private,29 years old,1k-5k Employees (India)
Steel Strips Whe...,3.8,(760 Reviews),Public,37 years old,5k-10k Employees (India)
Haier Appliances...,3.9,(758 Reviews),Private,18 years old,1k-5k Employees (India)
Intex Technologi...,3.9,(757 Reviews),Public,26 years old,1k-5k Employees (India)
Chegg,4.4,(757 Reviews),Private,17 years old,5k-10k Employees (India)
Paisabazaar.com,3.9,(757 Reviews),Private,11 years old,1k-5k Employees (India)
SKF,4.0,(754 Reviews),Public,99 years old,1k-5k Employees (India)
Team Computers,3.7,(754 Reviews),Private,35 years old,1k-5k Employees (India)
Indian Railways,4.1,(2.5k Reviews),Govt Organisation,169 years old,1 Lakh+ Employees (India)
Gland Pharma,4.1,(1.3k Reviews),Private,44 years old,1k-5k Employees (India)
Collabera Techno...,3.6,(753 Reviews),Private,31 years old,1k-5k Employees (India)
ESAF Microfinanc...,3.8,(750 Reviews),Private,6 years old,1k-5k Employees (India)
Cushman & Wakefi...,4.4,(748 Reviews),Private,25 years old,1k-5k Employees (India)
Volkswagen,4.2,(1.4k Reviews),Private,21 years old,10k-50k Employees (India)
iQor Global Serv...,3.9,(745 Reviews),Private,24 years old,1k-5k Employees (India)
TATA Power,4.2,(1.4k Reviews),Public,111 years old,5k-10k Employees (India)
SS&C TECHNOLOGIE...,3.8,(993 Reviews),Private,22 years old,1k-5k Employees (India)
Cerner,4.0,(737 Reviews),Public,43 years old,1k-5k Employees (India)
PhonePe,4.1,(853 Reviews),Private,7 years old,5k-10k Employees (India)
ITD Cementation ...,4.3,(735 Reviews),Public,91 years old,1k-5k Employees (India)
Krishna Maruti,4.1,(732 Reviews),Private,28 years old,1k-5k Employees (India)
Tata Communicati...,4.2,(732 Reviews),Private,16 years old,10k-50k Employees (India)
FDC,4.0,(731 Reviews),Public,82 years old,1k-5k Employees (India)
Computer Age Man...,3.9,(731 Reviews),Private,34 years old,1k-5k Employees (India)
AGS Transact Tec...,3.7,(730 Reviews),Private,20 years old,10k-50k Employees (India)
Ashoka Buildcon,4.2,(729 Reviews),Public,46 years old,1k-5k Employees (India)
SYSKA LED Lights,3.6,(729 Reviews),Private,10 years old,1k-5k Employees (Global)
Fino Payments Ba...,4.3,(729 Reviews),Private,16 years old,1k-5k Employees (India)
Adani Ports and ...,4.0,(727 Reviews),Public,24 years old,1k-5k Employees (India)
Daikin,4.2,(727 Reviews),Private,22 years old,1k-5k Employees (India)
Exotic Learning,4.8,(726 Reviews),Private,2 years old,51-200 Employees (India)
24-7 Intouch,3.2,(726 Reviews),Private,21 years old,1k-5k Employees (India)
Standard Charter...,4.0,(725 Reviews),Private,21 years old,10k-50k Employees (India)
Aadhar Housing F...,4.2,(724 Reviews),Private,12 years old,1k-5k Employees (India)
PI Industries,4.1,(723 Reviews),Public,75 years old,1k-5k Employees (India)
Manipal Hospita...,4.3,(723 Reviews),Private,69 years old,5k-10k Employees (India)
DISH TV,3.8,(1.8k Reviews),Public,19 years old,1k-5k Employees (India)
ECIL,4.2,(720 Reviews),Public,55 years old,1k-5k Employees (India)
Asahi India Glas...,3.9,(719 Reviews),Public,38 years old,1k-5k Employees (India)
Fresenius,4.0,(718 Reviews),Public,23 years old,1k-5k Employees (India)
Haldiram Foods,3.9,(815 Reviews),Private,52 years old,501-1k Employees (India)
Compass Group S...,4.1,(773 Reviews),Public,81 years old,10k-50k Employees (India)
Cargill,4.3,(715 Reviews),Private,157 years old,1k-5k Employees (India)
Alstom Transport...,4.0,(715 Reviews),Private,94 years old,10k-50k Employees (India)
Synchrony,4.4,(715 Reviews),Private,19 years old,1k-5k Employees (India)
Devyani Internat...,3.7,(713 Reviews),Public,31 years old,5k-10k Employees (India)
Jubilant Pharmov...,4.1,(713 Reviews),Public,44 years old,1k-5k Employees (India)
Shriram Pistons ...,4.2,(712 Reviews),Public,59 years old,1k-5k Employees (India)
Broadridge Finan...,4.0,(712 Reviews),Private,15 years old,1k-5k Employees (India)
BVG India,3.9,(711 Reviews),Private,25 years old,1k-5k Employees (India)
NSE.IT,3.7,(711 Reviews),Public,23 years old,201-500 Employees (India)
XL Dynamics,3.7,(709 Reviews),Private,20 years old,1k-5k Employees (India)
Granules India,4.1,(708 Reviews),Public,38 years old,1k-5k Employees (India)
Allstate,4.3,(708 Reviews),Private,10 years old,1k-5k Employees (India)
Godrej Group,4.0,(5.1k Reviews),Public,125 years old,10k-50k Employees (India)
NSH,3.7,(706 Reviews),Private,44 years old,501-1k Employees (India)
Nielsen,4.0,(878 Reviews),Private,99 years old,1k-5k Employees (India)
Indoco Remedies,3.8,(703 Reviews),Public,75 years old,1k-5k Employees (India)
Bajaj Motors,3.8,(703 Reviews),Private,36 years old,5k-10k Employees (India)
Iffco Tokio Gene...,4.2,(702 Reviews),Private,22 years old,1k-5k Employees (India)
Mondelez Interna...,4.5,(1.1k Reviews),Private,10 years old,1k-5k Employees (India)
GAIL,4.3,(1.1k Reviews),Private,38 years old,1k-5k Employees (India)
Bharat Sanchar N...,4.0,(701 Reviews),Private,22 years old,50k-1 Lakh Employees (India)
Rane TRW Steerin...,4.1,(700 Reviews),JV,35 years old,501-1k Employees (India)
Columbia Asia,4.3,(700 Reviews),Private,17 years old,1k-5k Employees (India)
KIA MOTORS,3.8,(699 Reviews),Private,78 years old,10k-50k Employees (India)
Bajaj Capital,3.8,(972 Reviews),Public,58 years old,1k-5k Employees (India)
TTEC India,4.1,(704 Reviews),Public,40 years old,50k-1 Lakh Employees (India)
HTC Global Servi...,3.8,(696 Reviews),Private,32 years old,1k-5k Employees (India)
Sahara India Par...,4.0,(1.2k Reviews),Private,44 years old,1k-5k Employees (India)
Luminous Power T...,4.2,(692 Reviews),Private,34 years old,1k-5k Employees (India)
MiraMed Ajuba,4.1,(692 Reviews),Private,21 years old,1k-5k Employees (India)
Max Bupa Health ...,3.9,(691 Reviews),Private,14 years old,1k-5k Employees (India)
Microsoft Corpor...,4.3,(772 Reviews),Private,47 years old,1k-5k Employees (India)
Oil And Natural ...,4.4,(1.6k Reviews),Public,66 years old,10k-50k Employees (India)
Johnson Lifts,4.1,(687 Reviews),Private,41 years old,501-1k Employees (India)
Bisleri,4.2,(687 Reviews),Private,57 years old,1k-5k Employees (India)
Apotex Research,4.5,(686 Reviews),Private,19 years old,1k-5k Employees (India)
Unichem Laborato...,4.1,(685 Reviews),Public,78 years old,1k-5k Employees (India)
Spencer's Retail,4.1,(683 Reviews),Public,159 years old,1k-5k Employees (India)
Honda Cars,4.2,(678 Reviews),Greater Noida + 60 more,,
BGR Energy Syste...,3.9,(684 Reviews),Public,37 years old,1k-5k Employees (India)
Piaggio,3.9,(675 Reviews),Private,138 years old,1k-5k Employees (India)
Ab Inbev,3.8,(674 Reviews),Public,34 years old,1k-5k Employees (India)
Meesho,3.9,(671 Reviews),Private,7 years old,1k-5k Employees (India)
Lemon Tree Hotel...,4.2,(668 Reviews),Public,20 years old,1k-5k Employees (India)
Strides Pharma,4.1,(666 Reviews),Public,32 years old,1k-5k Employees (India)
Kendriya Vidyala...,4.3,(666 Reviews),Public,59 years old,10k-50k Employees (India)
Tata Chemicals,4.3,(1.4k Reviews),Public,84 years old,1k-5k Employees (India)
Orion Edutech,3.2,(665 Reviews),Private,16 years old,5k-10k Employees (India)
CitiusTech,4.1,(662 Reviews),Private,17 years old,5k-10k Employees (India)
Wind World,4.0,(661 Reviews),Private,28 years old,5k-10k Employees (India)
Vistaar Finance,4.4,(661 Reviews),Private,12 years old,1k-5k Employees (India)
Hero Motors,4.2,(4k Reviews),Private,24 years old,5k-10k Employees (India)
TDK,3.9,(658 Reviews),Private,87 years old,1k-5k Employees (India)
Fidelity Nationa...,3.9,(656 Reviews),Private,175 years old,1k-5k Employees (India)
Annapurna Financ...,4.2,(656 Reviews),Private,13 years old,5k-10k Employees (India)
Bosch Chassis Sy...,4.3,(654 Reviews),Private,71 years old,501-1k Employees (India)
Amneal Pharmaceu...,4.3,(783 Reviews),Private,20 years old,1k-5k Employees (India)
NoBroker,3.9,(655 Reviews),Private,8 years old,1k-5k Employees (India)
BNP Paribas,4.0,(1.6k Reviews),Private,174 years old,10k-50k Employees (India)
Atul,3.9,(651 Reviews),Public,75 years old,1k-5k Employees (India)
Karvy Stock Brok...,3.5,(648 Reviews),Private,32 years old,1k-5k Employees (India)
Arthur J. Gallag...,4.0,(647 Reviews),Private,20 years old,1k-5k Employees (India)
iSON Xperiences,3.5,(646 Reviews),Private,11 years old,5k-10k Employees (India)
Feedback Infrast...,3.9,(886 Reviews),Private,32 years old,1k-5k Employees (India)
PNB Housing Fina...,4.1,(640 Reviews),Public,34 years old,1k-5k Employees (India)
Nuvoco Vistas,4.3,(639 Reviews),Private,23 years old,1k-5k Employees (India)
Siemens Gamesa R...,4.3,(638 Reviews),Private,46 years old,1k-5k Employees (India)
GAMMON INDIA,4.0,(901 Reviews),Public,100 years old,11-50 Employees (India)
Taurus BPO Serv...,4.9,(637 Reviews),LLP,11 years old,1k-5k Employees (India)
Aye Finance,4.4,(637 Reviews),Private,9 years old,1k-5k Employees (India)
Evalueserve,3.8,(636 Reviews),Private,22 years old,1k-5k Employees (India)
Toppr,3.3,(636 Reviews),Private,9 years old,501-1k Employees (India)
Valeo,3.9,(635 Reviews),Private,99 years old,5k-10k Employees (India)
Technip,4.0,(635 Reviews),Private,5 years old,1k-5k Employees (India)
Medhaj Techno Co...,4.3,(634 Reviews),Private,15 years old,1k-5k Employees (India)
TK Elevator,4.1,(1.3k Reviews),Private,27 years old,1k-5k Employees (India)
Infinite Compute...,4.0,(630 Reviews),Public,21 years old,1k-5k Employees (India)
Mando Automotive,4.1,(629 Reviews),Private,16 years old,1k-5k Employees (India)
DCM Shriram,4.2,(668 Reviews),Public,32 years old,1k-5k Employees (India)
Polycab Wires,4.0,(628 Reviews),Private,26 years old,1k-5k Employees (India)
Continental Auto...,4.2,(628 Reviews),Private,151 years old,5k-10k Employees (India)
FastInfo,4.7,(910 Reviews),Private,3 years old,501-1k Employees (India)
Unacademy,3.3,(726 Reviews),Private,7 years old,1k-5k Employees (India)
V2 Retail,3.4,(627 Reviews),Public,21 years old,501-1k Employees (India)
CRB Tech Solutio...,4.3,(627 Reviews),Private,21 years old,501-1k Employees (India)
TUV SUD,4.1,(627 Reviews),Private,156 years old,1k-5k Employees (India)
Caterpillar Inc,4.3,(804 Reviews),Private,97 years old,5k-10k Employees (India)
ICICI Home Finan...,3.9,(626 Reviews),Private,23 years old,1k-5k Employees (India)
Spicer India,4.4,(625 Reviews),Private,29 years old,1k-5k Employees (India)
Podar Internatio...,4.4,(625 Reviews),Private,95 years old,5k-10k Employees (India)
UBS,3.8,(624 Reviews),Private,7 years old,1k-5k Employees (India)
Ceasefire Indust...,3.3,(624 Reviews),Private,20 years old,1k-5k Employees (India)
Burger King,3.9,(623 Reviews),Private,8 years old,1k-5k Employees (India)
Automotive Manuf...,4.0,(621 Reviews),Private,74 years old,1k-5k Employees (India)
Egis  India Cons...,4.2,(620 Reviews),Private,17 years old,1k-5k Employees (India)
Telenor,4.4,(647 Reviews),Private,13 years old,1k-5k Employees (India)
Vestas,4.2,(619 Reviews),Private,26 years old,1k-5k Employees (India)
SNC-Lavalin,4.3,(950 Reviews),Public,111 years old,501-1k Employees (India)
ANZ Banking Grou...,4.2,(791 Reviews),"Melbourne,Victoria + 12 more",5k-10k Employees (India),
Next Education I...,3.8,(615 Reviews),Private,15 years old,1k-5k Employees (India)
Nirma,4.4,(613 Reviews),Private,32 years old,10k-50k Employees (India)
Supreme Industri...,4.1,(669 Reviews),Public,80 years old,10k-50k Employees (India)
Hathway,3.9,(611 Reviews),Private,63 years old,1k-5k Employees (India)
Viraj Profiles,3.8,(610 Reviews),Private,22 years old,1k-5k Employees (India)
Dhoot Transmissi...,3.5,(609 Reviews),Private,24 years old,201-500 Employees (India)
Thomas Cook,3.9,(608 Reviews),Public,141 years old,501-1k Employees (India)
Barbeque Nation,4.2,(608 Reviews),Private,16 years old,5k-10k Employees (India)
Alstom,4.0,(606 Reviews),Private,94 years old,5k-10k Employees (India)
JK Lakshmi Cemen...,4.3,(645 Reviews),Public,40 years old,1k-5k Employees (India)
Godrej Consumer ...,4.3,(605 Reviews),Public,21 years old,1k-5k Employees (India)
AstraZeneca,4.2,(605 Reviews),Public,23 years old,1k-5k Employees (India)
Jindal X,3.3,(605 Reviews),Public,24 years old,501-1k Employees (India)
Xiaomi,4.1,(604 Reviews),Private,12 years old,10k-50k Employees (India)
Kirloskar Oil En...,4.0,(603 Reviews),Public,76 years old,1k-5k Employees (India)
Schaeffler India,4.3,(603 Reviews),Public,76 years old,1k-5k Employees (India)
Spandana Sphoort...,3.5,(603 Reviews),Public,24 years old,5k-10k Employees (India)
ManpowerGroup,4.1,(602 Reviews),Private,25 years old,1k-5k Employees (India)
Fluor Daniel Ind...,4.0,(602 Reviews),Private,110 years old,501-1k Employees (India)
Mahindra CIE Aut...,3.9,(602 Reviews),Public,23 years old,501-1k Employees (India)
CADD Centre Trai...,4.0,(600 Reviews),Private,34 years old,501-1k Employees (India)
Apollo Pharmacy,3.8,(599 Reviews),Private,39 years old,10k-50k Employees (India)
Parexel Internat...,4.2,(599 Reviews),Private,40 years old,5k-10k Employees (India)
Suryoday Small F...,3.9,(599 Reviews),Private,14 years old,1k-5k Employees (India)
THE LEELA PALACE...,4.2,(599 Reviews),Private,39 years old,1k-5k Employees (India)
Eaton Corporatio...,4.1,(598 Reviews),Public,111 years old,5k-10k Employees (India)
VIP Industries,4.0,(596 Reviews),Public,51 years old,1k-5k Employees (India)
Coca-Cola Compan...,4.4,(2.8k Reviews),Private,136 years old,10k-50k Employees (India)
Slk Software Ser...,3.7,(595 Reviews),Private,22 years old,1k-5k Employees (India)
Ruchi Soya Indus...,4.1,(595 Reviews),Public,36 years old,5k-10k Employees (India)
Aarvee Associate...,3.9,(594 Reviews),Private,33 years old,1k-5k Employees (India)
Pine Labs,4.2,(594 Reviews),Private,24 years old,1k-5k Employees (India)
Nilkamal,3.9,(670 Reviews),Public,41 years old,1k-5k Employees (India)
TE Connectivity,4.2,(591 Reviews),Private,15 years old,1k-5k Employees (India)
Thyrocare Techno...,3.3,(591 Reviews),Public,26 years old,1k-5k Employees (India)
Micromax Informa...,3.9,(849 Reviews),Private,22 years old,1k-5k Employees (India)
VVDN Technologie...,3.7,(590 Reviews),Private,15 years old,1k-5k Employees (India)
Medlife,3.6,(589 Reviews),Private,8 years old,1k-5k Employees (India)
1point1 Solution...,3.3,(588 Reviews),Public,14 years old,5k-10k Employees (India)
Reliance Capital,4.0,(3.8k Reviews),Public,17 years old,1k-5k Employees (India)
Future Supply Ch...,4.3,(587 Reviews),Public,16 years old,1k-5k Employees (India)
OM Logistics,4.1,(586 Reviews),Private,23 years old,1k-5k Employees (India)
C.R.I. Pumps,3.9,(585 Reviews),Private,61 years old,1k-5k Employees (India)
GlaxoSmithKline ...,4.4,(1.8k Reviews),Public,22 years old,501-1k Employees (India)
Acme Cleantech S...,3.9,(584 Reviews),Private,19 years old,1k-5k Employees (India)
IndiaFirst Life ...,4.3,(584 Reviews),Private,13 years old,1k-5k Employees (India)
Shriram Life Ins...,4.1,(582 Reviews),Private,17 years old,50k-1 Lakh Employees (India)
PNC Infratech,4.0,(580 Reviews),Public,23 years old,5k-10k Employees (India)
Newgen Software ...,3.6,(580 Reviews),Public,30 years old,1k-5k Employees (India)
MDIndia Health I...,4.0,(579 Reviews),Private,22 years old,1k-5k Employees (India)
Sandvik Asia,4.3,(579 Reviews),Private,160 years old,1k-5k Employees (India)
Nexa,4.1,(578 Reviews),Private,7 years old,1k-5k Employees (India)
Apco Infratech,4.0,(577 Reviews),Private,30 years old,1k-5k Employees (India)
Hatsun Agro Prod...,4.2,(575 Reviews),Public,52 years old,1k-5k Employees (India)
INDUSIND MARKETI...,4.2,(575 Reviews),Private,20 years old,501-1k Employees (India)
Shubham Housing ...,4.2,(574 Reviews),Private,12 years old,1k-5k Employees (India)
Sri Chaitanya Ed...,3.9,(573 Reviews),Private,36 years old,51-200 Employees (India)
Yashoda Hospital...,3.8,(573 Reviews),Private,33 years old,501-1k Employees (India)
Ivrcl Infrastruc...,4.4,(573 Reviews),Public,35 years old,1k-5k Employees (India)
Hinduja Leyland ...,4.1,(573 Reviews),Private,16 years old,1k-5k Employees (India)
Infogain,3.9,(573 Reviews),Private,32 years old,1k-5k Employees (India)
Altran Technolog...,3.7,(915 Reviews),Private,40 years old,10k-50k Employees (India)
Clover Infotech,3.8,(572 Reviews),Private,28 years old,1k-5k Employees (India)
Novo Nordisk,4.0,(571 Reviews),Private,99 years old,1k-5k Employees (India)
Credit Suisse,4.0,(570 Reviews),Private,166 years old,10k-50k Employees (India)
Rockman Industri...,3.7,(567 Reviews),Private,62 years old,1k-5k Employees (India)
Colgate Palmoliv...,4.3,(567 Reviews),Public,85 years old,1k-5k Employees (India)
Hyundai Mobis,3.8,(567 Reviews),Private,5 years old,51-200 Employees (India)
Pramerica Life I...,3.9,(567 Reviews),Private,8 years old,501-1k Employees (India)
Capacit'e Infrap...,3.8,(595 Reviews),Public,10 years old,1k-5k Employees (India)
Bestseller Retai...,4.4,(565 Reviews),Private,13 years old,501-1k Employees (India)
Sansera Engineer...,4.2,(565 Reviews),Public,36 years old,501-1k Employees (India)
Galfar,4.2,(565 Reviews),Private,50 years old,501-1k Employees (India)
Bharti Infratel,4.4,(564 Reviews),Public,16 years old,1k-5k Employees (India)
Sundaram Finance,4.3,(563 Reviews),Public,68 years old,1k-5k Employees (India)
Duck Creek,4.7,(563 Reviews),LLP,22 years old,501-1k Employees (India)
Paytm Payments B...,3.9,(563 Reviews),Public,6 years old,1k-5k Employees (India)
Samsung Engineer...,4.3,(562 Reviews),Private,16 years old,1k-5k Employees (India)
FLSmidth,3.8,(561 Reviews),Private,140 years old,1k-5k Employees (India)
Marks & Spencer,4.5,(561 Reviews),Private,138 years old,1k-5k Employees (India)
Gujarat Fluoroch...,4.2,(560 Reviews),Private,35 years old,1k-5k Employees (India)
Tata steel BSL,4.0,(559 Reviews),Public,35 years old,10k-50k Employees (India)
Centum Electroni...,3.9,(556 Reviews),Public,28 years old,1k-5k Employees (India)
Pizza Hut,4.1,(556 Reviews),Private,64 years old,1k-5k Employees (India)
Pricol,3.9,(630 Reviews),Public,47 years old,1k-5k Employees (India)
Greaves Cotton,4.2,(555 Reviews),Public,163 years old,1k-5k Employees (India)
C&S Electric,3.9,(555 Reviews),Private,56 years old,5k-10k Employees (India)
Gmmco,4.2,(555 Reviews),Private,55 years old,1k-5k Employees (India)
Perfetti Van Mel...,4.3,(555 Reviews),Private,21 years old,1k-5k Employees (India)
Optum Global Sol...,4.0,(555 Reviews),Hyderabad/Secunderabad + 7 more,,
Indiabulls Ventu...,3.4,(555 Reviews),Public,27 years old,1k-5k Employees (India)
JSW Cement,4.0,(555 Reviews),Private,13 years old,1k-5k Employees (India)
Vibgyor High Sch...,3.9,(554 Reviews),Private,18 years old,1k-5k Employees (India)
FirstCry,3.8,(554 Reviews),Private,12 years old,1k-5k Employees (India)
LOREAL,4.3,(584 Reviews),Private,31 years old,1k-5k Employees (India)
SAI Life Science...,3.9,(553 Reviews),Public,23 years old,1k-5k Employees (India)
INDO-MIM,4.3,(552 Reviews),Private,24 years old,1k-5k Employees (India)
Punjab National ...,4.1,(552 Reviews),Private,128 years old,50k-1 Lakh Employees (India)
Altruist Technol...,3.1,(551 Reviews),Private,17 years old,51-200 Employees (India)
Unicharm,4.3,(551 Reviews),Private,61 years old,1k-5k Employees (India)
Fareportal,3.3,(551 Reviews),Private,20 years old,1k-5k Employees (India)
Kirloskar Brothe...,4.1,(585 Reviews),Public,134 years old,1k-5k Employees (India)
Edelweiss Tokio ...,4.0,(548 Reviews),"Mumbai,Maharashtra + 96 more",1k-5k Employees (India),
Panacea Biotec,4.0,(551 Reviews),Public,38 years old,1k-5k Employees (India)
Eureka Outsourci...,3.3,(547 Reviews),Private,20 years old,1k-5k Employees (India)
Aviva Life Insur...,3.9,(547 Reviews),JV,326 years old,1k-5k Employees (India)
Tenneco,3.8,(546 Reviews),Private,82 years old,1k-5k Employees (India)
Finolex Cables,3.9,(545 Reviews),Public,66 years old,5k-10k Employees (India)
KEI Industries,4.0,(545 Reviews),Public,54 years old,1k-5k Employees (India)
Bechtel,4.1,(545 Reviews),Private,124 years old,1k-5k Employees (India)
eClinicalWorks,4.2,(545 Reviews),Private,23 years old,1k-5k Employees (India)
Hindustan Zinc,3.8,(544 Reviews),Public,56 years old,1k-5k Employees (India)
Mahindra First C...,4.0,(543 Reviews),Private,28 years old,501-1k Employees (India)
Hindustan Sanita...,4.1,(541 Reviews),Public,62 years old,501-1k Employees (India)
Mswipe Technolog...,3.1,(540 Reviews),Private,11 years old,1k-5k Employees (India)
Ion Exchange Ind...,3.8,(540 Reviews),Public,58 years old,1k-5k Employees (India)
Magna Infotech,3.4,(539 Reviews),Private,25 years old,1k-5k Employees (India)
Kinara Capital,4.6,(539 Reviews),Private,11 years old,1k-5k Employees (India)
Apollo Munich He...,3.9,(538 Reviews),Public,15 years old,1k-5k Employees (India)
RBL FinServe,4.2,(538 Reviews),Private,17 years old,5k-10k Employees (India)
Planet Spark,3.5,(538 Reviews),Private,5 years old,51-200 Employees (India)
S&P Global Marke...,4.2,(537 Reviews),Private,113 years old,5k-10k Employees (India)
Schlumberger,4.3,(545 Reviews),Private,14 years old,5k-10k Employees (India)
Olam,4.1,(536 Reviews),Public,33 years old,1k-5k Employees (India)
Carnival Cruise ...,4.6,(536 Reviews),Public,50 years old,1k-5k Employees (India)
DAV Public Schoo...,4.1,(534 Reviews),Private,136 years old,1 Lakh+ Employees (India)
Future Focus Inf...,3.6,(534 Reviews),Private,25 years old,1k-5k Employees (India)
Morgan Stanley,4.1,(534 Reviews),Private,91 years old,5k-10k Employees (India)
Electrosteel Ste...,4.1,(532 Reviews),Public,16 years old,501-1k Employees (India)
Trimax IT Infras...,3.4,(531 Reviews),Private,27 years old,1k-5k Employees (India)
Fidelity Investm...,4.4,(531 Reviews),Private,76 years old,5k-10k Employees (India)
Automatic Data P...,4.3,(532 Reviews),New Jersey + 3 more,1k-5k Employees (India),
Atos Global IT S...,4.1,(529 Reviews),"Navi Mumbai,Maharashtra + 12 more",10k-50k Employees (India),
Intertek,3.8,(533 Reviews),Private,25 years old,1k-5k Employees (India)
Imperial Auto In...,3.7,(527 Reviews),Public,53 years old,1k-5k Employees (India)
Decathlon,4.0,(527 Reviews),Private,46 years old,1k-5k Employees (India)
Huhtamaki,4.2,(527 Reviews),Private,87 years old,201-500 Employees (India)
TCS iON,3.8,(526 Reviews),Mumbai + 69 more,501-1k Employees (India),
Syngenta,4.2,(526 Reviews),Private,22 years old,1k-5k Employees (India)
Episource,3.9,(526 Reviews),Private,16 years old,1k-5k Employees (India)
MAHLE ANAND Filt...,4.2,(526 Reviews),Private,17 years old,1k-5k Employees (India)
Sykes Business S...,3.5,(526 Reviews),Private,45 years old,10k-50k Employees (India)
TietoEVRY,4.3,(525 Reviews),Public,28 years old,1k-5k Employees (India)
Bank of India,3.9,(524 Reviews),Private,116 years old,50k-1 Lakh Employees (India)
NEC,4.2,(1k Reviews),Private,123 years old,1k-5k Employees (India)
The Ramco Cement...,4.2,(523 Reviews),Public,61 years old,10k-50k Employees (Global)
Indegene,3.8,(522 Reviews),Private,24 years old,1k-5k Employees (India)
Teva Pharmaceuti...,4.1,(759 Reviews),Private,43 years old,1k-5k Employees (India)
Jaquar,4.2,(521 Reviews),Private,62 years old,1k-5k Employees (India)
DuPont,4.3,(521 Reviews),Private,220 years old,1k-5k Employees (India)
Jakson Group,3.8,(521 Reviews),Private,75 years old,1k-5k Employees (India)
Adobe,4.3,(519 Reviews),Public,25 years old,5k-10k Employees (India)
Star Union Dai-i...,3.9,(519 Reviews),Private,13 years old,1k-5k Employees (India)
Crowne Plaza,4.2,(1.4k Reviews),Public,39 years old,501-1k Employees (India)
Neel Metal Produ...,4.2,(518 Reviews),Gurgaon + 27 more,,
